Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2022,Honda,Pilot Elite,Used,"$40,000",Dealer,UT,Gray,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2014,Subaru,Forester 2.5i,Used,"$8,800",Dealer,UT,Dark Gray,All-wheel Drive,24,32,Gasoline,Automatic CVT
2021,Subaru,Forester Sport,Used,"$29,700",Dealer,ID,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT
2020,Ford,Edge Titanium,Used,"$34,997",Dealer,ID,Ebony,All-wheel Drive,21,28,Gasoline,8-Speed Automatic
2020,Subaru,Ascent Touring 7-Passenger,Used,"$42,505",Dealer,CO,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT
2020,Lexus,RX 450hL Base,Used,"$56,500",Dealer,WA,Parchment,All-wheel Drive,29,28,Hybrid,Automatic CVT
2021,Subaru,Forester Premium,Used,"$28,400",Dealer,ID,Black,All-wheel Drive,26,33,Gasoline,Automatic CVT
2019,Volvo,XC60 T5 Inscription,Used,"$40,968",Dealer,TX,Blond,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic
2019,Volvo,XC40 T5 R-Design,Used,"$42,962",Dealer,TX,Charcoal,All-wheel Drive,23,31,Gasoline,8-Speed Automatic
2020,BMW,X5 sDrive40i,Used,"$55,901",Dealer,TX,Canberra Beige,Rear-wheel Drive,21,26,Gasoline,8-Speed Automatic
2019,Mazda,CX-5 Grand Touring,Used,"$29,895",Dealer,TX,Black,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic
2019,Toyota,4Runner Limited,Used,"$46,991",Dealer,TX,Black Graphite,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic
2019,BMW,M850 i xDrive,Used,"$77,480",Dealer,TX,Fiona Red,All-wheel Drive,18,25,Gasoline,8-Speed Automatic
2021,Tesla,Model 3 Performance,Used,"$65,786",Dealer,TX,White / Black,All-wheel Drive,118,107,Gasoline,1-Speed Automatic
2018,Hyundai,Santa Fe Limited Ultimate,Used,"$24,750",Dealer,TX,Gray,All-wheel Drive,17,22,Gasoline,6-Speed Automatic
2020,Dodge,Challenger SXT,Used,"$32,290",Dealer,TX,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2019,Ford,F-150 XLT,Used,"$42,995",Dealer,SD,Black,Four-wheel Drive,18,23,Gasoline,Automatic with Overdrive
2019,BMW,330 i xDrive,Used,"$39,521",Dealer,MO,Black,All-wheel Drive,25,34,Gasoline,8-Speed Automatic
2019,Honda,CR-V EX,Used,"$28,693",Dealer,TX,Gray,Front-wheel Drive,28,34,Gasoline,Automatic CVT
2020,Acura,MDX 3.5L w/Technology Package,Used,"$41,499",Dealer,TX,Ebony,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2017,Subaru,Impreza 2.0i,Used,"$16,823",Dealer,MN,Ivory,All-wheel Drive,28,38,Gasoline,CVT 7-Speed
2004,Toyota,Highlander Base,Used,"$5,995",Dealer,MN,Tan,Front-wheel Drive,23,23,Gasoline,Automatic 5-Speed
2003,Lexus,RX 300,Used,"$9,995",Dealer,MO,Black,All-wheel Drive,18,22,Gasoline,4-Speed Automatic
2019,Toyota,4Runner SR5,Used,"$37,998",Dealer,LA,Gray,Rear-wheel Drive,17,21,Gasoline,5-Speed Automatic
2019,Chevrolet,Impala Premier 2LZ,Used,"$26,256",Dealer,WI,Jet Black,Front-wheel Drive,19,28,Gasoline,6-Speed Automatic
2019,BMW,X7 xDrive50i,Used,"$81,749",Dealer,IL,Tartufo,All-wheel Drive,15,21,Gasoline,8-Speed Automatic
2008,Mercedes-Benz,S-Class S 550 4MATIC,Used,"$15,800",Dealer,IL,Brown,All-wheel Drive,14,20,Gasoline,7-Speed Automatic
2018,Nissan,Rogue SL,Used,"$21,690",Dealer,IL,Charcoal,All-wheel Drive,25,32,Gasoline,Automatic CVT
